section_a,section_b,jensen_shannon_divergence,cosine_distance,rank_correlation
astronomical_zodiac,astronomical_zodiac,0.0,0.0,1.0
astronomical_zodiac,biological_balneological,0.7103352837651783,0.7165917704021376,-0.21516858774848863
astronomical_zodiac,cosmological,0.5867112474364373,0.33248000143068834,-0.16107302795484468
astronomical_zodiac,herbal,0.5969285499435872,0.42869969732892954,-0.027631113294437324
astronomical_zodiac,pharmaceutical,0.599254297352017,0.4181296216810362,-0.17502254652741514
astronomical_zodiac,recipes_stars,0.6540494436613105,0.5038202310322244,-0.07650861617150936
astronomical_zodiac,unknown,0.5953692905691129,0.3733331802153156,-0.05117470882715022
biological_balneological,astronomical_zodiac,0.7103352837651783,0.7165917704021376,-0.21516858774848863
biological_balneological,biological_balneological,0.0,0.0,1.0
biological_balneological,cosmological,0.5629340289680709,0.5112400376654085,-0.12227297847795597
biological_balneological,herbal,0.49540381802380784,0.5666220829530664,0.015420184176536495
biological_balneological,pharmaceutical,0.6028157829374469,0.5880773805436021,-0.1515721431729572
biological_balneological,recipes_stars,0.3434314230964962,0.26029287251216515,0.14816046616535716
biological_balneological,unknown,0.43222605604581454,0.36900701731082675,0.011346584408645846
cosmological,astronomical_zodiac,0.5867112474364373,0.33248000143068834,-0.16107302795484468
cosmological,biological_balneological,0.5629340289680709,0.5112400376654085,-0.12227297847795597
cosmological,cosmological,0.0,0.0,0.9999999999999999
cosmological,herbal,0.4805360598296518,0.3334478820624125,0.06744856570559629
cosmological,pharmaceutical,0.5610775632692799,0.3868555995912144,-0.12546592653550567
cosmological,recipes_stars,0.48561692240448945,0.3184805945371806,0.03509023738966582
cosmological,unknown,0.4404998093247495,0.14927073453372897,0.06986449738469666
herbal,astronomical_zodiac,0.5969285499435872,0.42869969732892954,-0.027631113294437327
herbal,biological_balneological,0.49540381802380784,0.5666220829530664,0.015420184176536497
herbal,cosmological,0.4805360598296518,0.3334478820624125,0.06744856570559629
herbal,herbal,0.0,0.0,1.0
herbal,pharmaceutical,0.44184858414609723,0.20285881536515937,0.07616181662898257
herbal,recipes_stars,0.42721991480455573,0.4446730973657914,0.021380740870401548
herbal,unknown,0.40947686246347553,0.33073804913064253,0.045950778260542224
pharmaceutical,astronomical_zodiac,0.599254297352017,0.4181296216810362,-0.17502254652741514
pharmaceutical,biological_balneological,0.6028157829374469,0.5880773805436021,-0.1515721431729572
pharmaceutical,cosmological,0.5610775632692799,0.3868555995912144,-0.12546592653550567
pharmaceutical,herbal,0.44184858414609723,0.20285881536515937,0.07616181662898257
pharmaceutical,pharmaceutical,0.0,-2.220446049250313e-16,1.0
pharmaceutical,recipes_stars,0.5424589232243404,0.45937915138360563,-0.006085381716741776
pharmaceutical,unknown,0.515974311385982,0.38072468926792147,-0.015509252473207922
recipes_stars,astronomical_zodiac,0.6540494436613105,0.5038202310322244,-0.07650861617150936
recipes_stars,biological_balneological,0.3434314230964962,0.26029287251216515,0.1481604661653572
recipes_stars,cosmological,0.48561692240448945,0.3184805945371806,0.03509023738966582
recipes_stars,herbal,0.42721991480455573,0.4446730973657914,0.021380740870401548
recipes_stars,pharmaceutical,0.5424589232243404,0.45937915138360563,-0.006085381716741776
recipes_stars,recipes_stars,0.0,-2.220446049250313e-16,1.0
recipes_stars,unknown,0.3649780138601648,0.1794239107028588,0.06676866442091794
unknown,astronomical_zodiac,0.5953692905691129,0.3733331802153156,-0.05117470882715022
unknown,biological_balneological,0.43222605604581454,0.36900701731082675,0.011346584408645844
unknown,cosmological,0.4404998093247495,0.14927073453372897,0.06986449738469666
unknown,herbal,0.40947686246347553,0.33073804913064253,0.045950778260542224
unknown,pharmaceutical,0.515974311385982,0.38072468926792147,-0.015509252473207924
unknown,recipes_stars,0.3649780138601648,0.1794239107028588,0.06676866442091794
unknown,unknown,0.0,2.220446049250313e-16,1.0
